  0.7145E-04   0.2288E+01   0.7134E+00   6.231   0.1683E+01   0.4688E+00 963.676
  0.7447E-04   0.2275E+01   0.7580E+00   6.251   0.1692E+01   0.4672E+00 928.194
  0.7762E-04   0.2262E+01   0.7940E+00   6.270   0.1701E+01   0.4658E+00 895.663
  0.8091E-04   0.2248E+01   0.8327E+00   6.289   0.1710E+01   0.4644E+00 863.921
  0.8433E-04   0.2233E+01   0.8763E+00   6.330   0.1728E+01   0.4614E+00 801.006
  0.8790E-04   0.2217E+01   0.9107E+00   6.350   0.1737E+01   0.4600E+00 771.795
  0.9162E-04   0.2200E+01   0.9533E+00   6.389   0.1755E+01   0.4571E+00 717.437
  0.9550E-04   0.2183E+01   0.9947E+00   6.450   0.1782E+01   0.4530E+00 641.958
  0.9954E-04   0.2165E+01   0.1026E+01   6.489   0.1800E+01   0.4502E+00 597.500
  0.1038E-03   0.2147E+01   0.1072E+01   6.531   0.1818E+01   0.4475E+00 553.846
  0.1081E-03   0.2128E+01   0.1110E+01   6.572   0.1836E+01   0.4449E+00 515.375
  0.1127E-03   0.2108E+01   0.1141E+01   6.592   0.1845E+01   0.4433E+00 496.952
  0.1175E-03   0.2087E+01   0.1185E+01   6.634   0.1863E+01   0.4407E+00 461.469
  0.1225E-03   0.2066E+01   0.1218E+01   6.664   0.1881E+01   0.4383E+00 437.394
  0.1276E-03   0.2044E+01   0.1250E+01   6.696   0.1899E+01   0.4356E+00 413.196
  0.1330E-03   0.2021E+01   0.1289E+01   6.738   0.1917E+01   0.4331E+00 383.944
  0.1387E-03   0.1998E+01   0.1317E+01   6.780   0.1935E+01   0.4306E+00 356.744
  0.1445E-03   0.1974E+01   0.1349E+01   6.824   0.1953E+01   0.4281E+00 330.599
  0.1507E-03   0.1950E+01   0.1381E+01   6.866   0.1971E+01   0.4254E+00 307.853
  0.1570E-03   0.1925E+01   0.1403E+01   6.910   0.1989E+01   0.4231E+00 285.493
  0.1637E-03   0.1900E+01   0.1434E+01   6.953   0.2007E+01   0.4207E+00 265.142
