  0.4529E-04   0.4219E+01   0.3836E+01   6.866   0.1971E+01   0.4254E+00 307.853
  0.4721E-04   0.4150E+01   0.3842E+01   6.866   0.1971E+01   0.4254E+00 307.853
  0.4920E-04   0.4081E+01   0.3828E+01   6.889   0.1980E+01   0.4243E+00 296.092
  0.5129E-04   0.4012E+01   0.3822E+01   6.910   0.1989E+01   0.4231E+00 285.493
  0.5346E-04   0.3943E+01   0.3817E+01   6.932   0.1998E+01   0.4219E+00 275.101
  0.5572E-04   0.3875E+01   0.3795E+01   6.974   0.2016E+01   0.4194E+00 256.114
  0.5808E-04   0.3806E+01   0.3786E+01   6.974   0.2016E+01   0.4194E+00 256.114
  0.6053E-04   0.3738E+01   0.3770E+01   6.997   0.2025E+01   0.4182E+00 246.566
  0.6310E-04   0.3670E+01   0.3736E+01   7.019   0.2034E+01   0.4170E+00 237.268
  0.6577E-04   0.3603E+01   0.3728E+01   7.040   0.2043E+01   0.4160E+00 229.043
  0.6855E-04   0.3536E+01   0.3703E+01   7.062   0.2052E+01   0.4147E+00 220.956
  0.7145E-04   0.3469E+01   0.3671E+01   7.084   0.2061E+01   0.4134E+00 213.089
  0.7447E-04   0.3403E+01   0.3654E+01   7.094   0.2070E+01   0.4125E+00 209.466
  0.7762E-04   0.3337E+01   0.3622E+01   7.108   0.2079E+01   0.4112E+00 204.820
  0.8091E-04   0.3272E+01   0.3590E+01   7.128   0.2088E+01   0.4101E+00 198.018
  0.8433E-04   0.3208E+01   0.3564E+01   7.151   0.2097E+01   0.4088E+00 190.659
  0.8790E-04   0.3144E+01   0.3523E+01   7.174   0.2106E+01   0.4078E+00 183.686
  0.9162E-04   0.3080E+01   0.3491E+01   7.197   0.2115E+01   0.4068E+00 176.744
  0.9550E-04   0.3017E+01   0.3458E+01   7.241   0.2133E+01   0.4043E+00 164.602
  0.9954E-04   0.2955E+01   0.3411E+01   7.287   0.2151E+01   0.4022E+00 152.773
  0.1038E-03   0.2894E+01   0.3382E+01   7.333   0.2169E+01   0.4000E+00 141.924
  0.1081E-03   0.2833E+01   0.3344E+01   7.356   0.2178E+01   0.3989E+00 136.780
  0.1127E-03   0.2773E+01   0.3296E+01   7.380   0.2187E+01   0.3978E+00 131.709
  0.1175E-03   0.2713E+01   0.3263E+01   7.412   0.2205E+01   0.3958E+00 125.171
  0.1225E-03   0.2655E+01   0.3218E+01   7.426   0.2214E+01   0.3947E+00 122.367
  0.1276E-03   0.2597E+01   0.3172E+01   7.471   0.2232E+01   0.3926E+00 114.007
  0.1330E-03   0.2539E+01   0.3134E+01   7.519   0.2250E+01   0.3903E+00 105.652
  0.1387E-03   0.2483E+01   0.3086E+01   7.542   0.2259E+01   0.3894E+00 101.894
  0.1445E-03   0.2428E+01   0.3043E+01   7.590   0.2277E+01   0.3873E+00  94.603
  0.1507E-03   0.2373E+01   0.3001E+01   7.600   0.2286E+01   0.3864E+00  93.163
  0.1570E-03   0.2319E+01   0.2950E+01   7.613   0.2295E+01   0.3851E+00  91.271
  0.1637E-03   0.2266E+01   0.2909E+01   7.662   0.2313E+01   0.3833E+00  84.629
  0.1706E-03   0.2213E+01   0.2863E+01   7.685   0.2322E+01   0.3823E+00  81.721
  0.1778E-03   0.2162E+01   0.2809E+01   7.734   0.2340E+01   0.3804E+00  75.850
  0.1854E-03   0.2111E+01   0.2769E+01   7.782   0.2358E+01   0.3781E+00  70.562
  0.1932E-03   0.2061E+01   0.2722E+01   7.819   0.2376E+01   0.3764E+00  66.738
  0.2014E-03   0.2012E+01   0.2672E+01   7.855   0.2394E+01   0.3744E+00  63.163
  0.2099E-03   0.1964E+01   0.2631E+01   7.880   0.2403E+01   0.3734E+00  60.820
  0.2188E-03   0.1917E+01   0.2582E+01   7.929   0.2421E+01   0.3716E+00  56.594
  0.2280E-03   0.1870E+01   0.2534E+01   7.955   0.2430E+01   0.3706E+00  54.440
  0.2377E-03   0.1825E+01   0.2491E+01   8.005   0.2448E+01   0.3688E+00  50.554
  0.2477E-03   0.1780E+01   0.2440E+01   8.041   0.2466E+01   0.3669E+00  48.004
  0.2582E-03   0.1736E+01   0.2396E+01   8.081   0.2484E+01   0.3651E+00  45.254
  0.2692E-03   0.1693E+01   0.2352E+01   8.132   0.2502E+01   0.3632E+00  42.029
  0.2805E-03   0.1651E+01   0.2301E+01   8.184   0.2520E+01   0.3613E+00  39.004
  0.2924E-03   0.1609E+01   0.2261E+01   8.207   0.2529E+01   0.3604E+00  37.718
  0.3048E-03   0.1568E+01   0.2216E+01   8.246   0.2547E+01   0.3588E+00  35.658
  0.3177E-03   0.1529E+01   0.2168E+01   8.286   0.2565E+01   0.3571E+00  33.707
  0.3311E-03   0.1490E+01   0.2128E+01   8.311   0.2574E+01   0.3559E+00  32.527
  0.3451E-03   0.1451E+01   0.2083E+01   8.364   0.2592E+01   0.3542E+00  30.175
  0.3597E-03   0.1414E+01   0.2038E+01   8.415   0.2610E+01   0.3527E+00  28.091
